state,auroc_inf,mwu_p,R_frac,NR_frac
Regulatory T cells,0.6477272727272727,0.040453236205271616,0.03273302937251403,0.06378259566317748
Apoptotic T cells,0.5708041958041958,0.0925137606353356,0.0003763923783393869,6.357279084551812e-05
CD8 memory,0.5909090909090909,0.20450336533889013,0.007283325689714404,0.006924247209693969
CD4 effector memory,0.5865384615384616,0.23119299365826007,0.08082026190969707,0.10569068237239515
CD8 effector memory,0.583041958041958,0.24837759770370615,0.05239174307632267,0.032519071738048064
CD4 cytotoxic,0.5227272727272727,0.2828644017460793,6.060921980438245e-05,0.0
Monocyte-like T cells,0.5699300699300699,0.28801100903110444,0.0007824370752104591,0.0013099525292276097
Ribosomal enriched,0.5646853146853147,0.37141978062696157,0.03568229316920422,0.06272353839305475
CD8 cytotoxic,0.5638111888111889,0.378196452876183,0.23175838827551362,0.18338252367389532
Proliferative T cells,0.5113636363636364,0.8792380318609538,0.4703900745158754,0.46768459022251285
CD4 central memory,0.5043706293706294,0.9563801159816653,0.08772144531780433,0.07591922540714925
