dataset,system,component,n_positives,n_negatives,coverage,delta_auprc_oof,ci_low,ci_high,coefficient,p_perm,q_perm_bh,verdict,reason,git_sha,data_sha256,axes_sha256,timestamp,command,post_hoc_stress_test,seed,n_resamples
marson_cd4,CD4 T cell CRISPRi,precision,13,65,1.0,0.21494765697427676,0.09359163972882797,0.49781369471879516,1.1286456314576054,0.006993006993006993,0.06993006993006994,DIRECTIONAL_UNCERTAIN,,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
marson_cd4,CD4 T cell CRISPRi,repeatability,13,65,1.0,0.07429783931322753,-0.02206998653582325,0.31120621783328173,0.3992517369221673,0.08691308691308691,0.2897102897102897,DIRECTIONAL_UNCERTAIN,,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
schmidt_cd4_crispra,CD4 T cell CRISPRa,precision,23,15,,,,,,1.0,1.0,NOT_EVALUABLE,only 15 unique candidates for 23 positives; fewer than five negatives per block,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
schmidt_cd4_crispra,CD4 T cell CRISPRa,repeatability,23,15,,,,,,1.0,1.0,NOT_EVALUABLE,only 15 unique candidates for 23 positives; fewer than five negatives per block,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
thp1_myeloid,THP-1 myeloid CRISPRi,precision,21,105,1.0,0.08281456030501577,-0.030304740458324674,0.259321850244044,0.6751140343497005,0.03696303696303696,0.1848151848151848,DIRECTIONAL_UNCERTAIN,,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
thp1_myeloid,THP-1 myeloid CRISPRi,repeatability,21,105,1.0,0.004071598372717311,-0.06079925396238966,0.08041719282448134,0.28440057021010534,0.4145854145854146,1.0,DIRECTIONAL_UNCERTAIN,,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
norman_k562,K562 CRISPRa,precision,13,32,,,,,,1.0,1.0,NOT_EVALUABLE,only 32 unique candidates for 13 positives; fewer than five negatives per block,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
norman_k562,K562 CRISPRa,repeatability,13,32,,,,,,1.0,1.0,NOT_EVALUABLE,only 32 unique candidates for 13 positives; fewer than five negatives per block,281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
replogle_rpe1,RPE1 CRISPRi,precision,0,0,,,,,,1.0,1.0,NOT_EVALUABLE,"committed artifact contains summary rows only, not gene-level E/S/R and labels",281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
replogle_rpe1,RPE1 CRISPRi,repeatability,0,0,,,,,,1.0,1.0,NOT_EVALUABLE,"committed artifact contains summary rows only, not gene-level E/S/R and labels",281f54b276af22b401dcc323bda664b10744de37,"{""outputs/generalization/b1_myeloid_gse221321/b1_myeloid_features.csv"": ""c9cac208aef08d5d92ddd97a021b90fc8c75dfcb726b38b67abfdb0557a6b56f"", ""outputs/generalization/b1_myeloid_gse221321/cci_result.json"": ""6134dca4ad0da14e46dbb43d3c9c1f46b0627cecbf613a2ec751e4a58402e382"", ""outputs/generalization/far_nonimmune_cci_scores.csv"": ""05d2fafadd0524bb0fdd7cb54acb7806b4c734876fc3dcfa1ab7ae2466b1e036"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75"", ""outputs/generalization/third_system_norman_scores.csv"": ""31d713c57ff34090e7b4682787388d3da5a5fb9fe9a2a96ace1f177b2496b96d"", ""outputs/marson_obs_matching.parquet"": ""1d49edaaceb449c7454192849a10bfac94e2200f7512b8e21087bbb31cc2e0a2"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T12:34:54.441349-03:00,python scripts/run_t2_decomposition.py --n-resamples 1000,True,20260712,1000
