family,observed,expected,fold,p_emp,set,null,q_bh
chromatin/tx,18,12.33,1.46,0.023976023976023976,top50,nullA_noTCR,0.1678
RNA/post-tx,10,9.79,1.02,0.5384615384615384,top50,nullA_noTCR,0.5385
NF-kB/TCR,10,7.85,1.27,0.2177822177822178,top50,nullA_noTCR,0.3049
IFN/Th1,6,3.85,1.56,0.12387612387612387,top50,nullA_noTCR,0.289
apoptosis/survival,18,13.36,1.35,0.06493506493506493,top50,nullA_noTCR,0.2273
Treg/brake,2,0.82,2.43,0.1888111888111888,top50,nullA_noTCR,0.3049
cytoskeleton/synapse,8,6.72,1.19,0.35064935064935066,top50,nullA_noTCR,0.4091
chromatin/tx,18,15.25,1.18,0.08491508491508491,top50,nullB_withTCR,0.4116
RNA/post-tx,10,9.22,1.08,0.4115884115884116,top50,nullB_withTCR,0.4116
NF-kB/TCR,10,8.8,1.14,0.27972027972027974,top50,nullB_withTCR,0.4116
IFN/Th1,6,5.16,1.16,0.3306693306693307,top50,nullB_withTCR,0.4116
apoptosis/survival,18,16.29,1.1,0.2647352647352647,top50,nullB_withTCR,0.4116
Treg/brake,2,1.13,1.77,0.3196803196803197,top50,nullB_withTCR,0.4116
cytoskeleton/synapse,8,7.14,1.12,0.4045954045954046,top50,nullB_withTCR,0.4116
chromatin/tx,25,21.48,1.16,0.1848151848151848,top100,nullA_noTCR,0.3234
RNA/post-tx,21,20.97,1.0,0.5544455544455544,top100,nullA_noTCR,0.5544
NF-kB/TCR,15,11.38,1.32,0.10989010989010989,top100,nullA_noTCR,0.3234
IFN/Th1,10,6.72,1.49,0.10789210789210789,top100,nullA_noTCR,0.3234
apoptosis/survival,25,23.0,1.09,0.3516483516483517,top100,nullA_noTCR,0.4289
Treg/brake,3,2.17,1.38,0.3676323676323676,top100,nullA_noTCR,0.4289
cytoskeleton/synapse,16,12.47,1.28,0.14785214785214784,top100,nullA_noTCR,0.3234
chromatin/tx,25,22.28,1.12,0.17482517482517482,top100,nullB_withTCR,0.3059
RNA/post-tx,21,19.22,1.09,0.27372627372627373,top100,nullB_withTCR,0.3417
NF-kB/TCR,15,12.66,1.19,0.13686313686313686,top100,nullB_withTCR,0.3059
IFN/Th1,10,8.17,1.22,0.15384615384615385,top100,nullB_withTCR,0.3059
apoptosis/survival,25,23.49,1.06,0.31868131868131866,top100,nullB_withTCR,0.3417
Treg/brake,3,2.18,1.37,0.34165834165834164,top100,nullB_withTCR,0.3417
cytoskeleton/synapse,16,12.95,1.24,0.1048951048951049,top100,nullB_withTCR,0.3059
